name,bbox-AP,bbox-AP50,bbox-bAP,bbox-bAP50,bbox-nAP,bbox-nAP50,segm-AP,segm-AP50,segm-bAP,segm-bAP50,segm-nAP,segm-nAP50
R_50_FPN_fullclsag_metric_avg_cos_bh_normalized_all_10shot_CSSCALE_1000,"19.26 ""+-"" 0.30","27.49 ""+-"" 0.47","23.36 ""+-"" 0.39","32.41 ""+-"" 0.60","6.97 ""+-"" 0.49","12.72 ""+-"" 0.79","17.87 ""+-"" 0.28","26.46 ""+-"" 0.46","21.87 ""+-"" 0.34","32.01 ""+-"" 0.57","5.88 ""+-"" 0.45","9.81 ""+-"" 0.69"
R_50_FPN_ft_fsdet_cos_correct_all_10shot,"27.44 ""+-"" 0.21","42.84 ""+-"" 0.34","33.83 ""+-"" 0.16","52.04 ""+-"" 0.19","8.28 ""+-"" 0.47","15.25 ""+-"" 0.92","25.97 ""+-"" 0.16","41.28 ""+-"" 0.25","31.84 ""+-"" 0.12","50.17 ""+-"" 0.16","8.36 ""+-"" 0.49","14.58 ""+-"" 0.83"
