name,bbox-nAP,bbox-nAP50,bbox-nAP75,bbox-nAPs,bbox-nAPm,bbox-nAPl,segm-nAP,segm-nAP50,segm-nAP75,segm-nAPs,segm-nAPm,segm-nAPl
R_50_FPN_fullclsag_metric_avg_cos_bh_normalized_novel_5shot_CSSCALE_100,"6.22 ""+-"" 0.51","11.28 ""+-"" 0.86","6.01 ""+-"" 0.52","2.52 ""+-"" 0.26","5.44 ""+-"" 0.45","9.78 ""+-"" 0.67","5.24 ""+-"" 0.44","8.73 ""+-"" 0.70","5.39 ""+-"" 0.46","1.58 ""+-"" 0.26","4.61 ""+-"" 0.36","9.34 ""+-"" 0.53"
R_50_FPN_ft_fsdet_cos_novel_5shot,"6.61 ""+-"" 0.53","12.32 ""+-"" 1.05","6.39 ""+-"" 0.54","3.06 ""+-"" 0.33","6.04 ""+-"" 0.42","9.99 ""+-"" 0.74","6.62 ""+-"" 0.54","11.58 ""+-"" 0.90","6.67 ""+-"" 0.55","2.01 ""+-"" 0.22","5.56 ""+-"" 0.37","11.02 ""+-"" 0.78"
R_50_FPN_ft_fsdet_cos_novel_5shot_split1_LIKE_ONESHOT,"15.80 ""+-"" 0.36","28.12 ""+-"" 0.62","16.27 ""+-"" 0.56","11.00 ""+-"" 0.54","18.11 ""+-"" 0.46","22.77 ""+-"" 0.89","15.14 ""+-"" 0.41","25.83 ""+-"" 0.62","15.90 ""+-"" 0.50","9.21 ""+-"" 0.57","16.81 ""+-"" 0.42","24.57 ""+-"" 1.02"
R_50_FPN_fullclsag_metric_avg_cos_bh_split1_novel_5shot_LIKE_ONESHOT_CSSCALE_100,"14.55 ""+-"" 0.48","25.73 ""+-"" 0.70","14.63 ""+-"" 0.59","11.02 ""+-"" 0.34","16.16 ""+-"" 0.68","20.01 ""+-"" 1.07","12.33 ""+-"" 0.41","21.95 ""+-"" 0.58","12.14 ""+-"" 0.51","7.44 ""+-"" 0.42","14.20 ""+-"" 0.72","21.47 ""+-"" 0.96"
