name,bbox-AP,bbox-AP50,bbox-bAP,bbox-bAP50,bbox-nAP,bbox-nAP50,segm-AP,segm-AP50,segm-bAP,segm-bAP50,segm-nAP,segm-nAP50
R_50_FPN_fullclsag_metric_avg_cos_bh_normalized_all_1shot_CSSCALE_1000,"21.67 ""+-"" 0.27","31.55 ""+-"" 0.41","27.81 ""+-"" 0.33","40.11 ""+-"" 0.50","3.23 ""+-"" 0.37","5.89 ""+-"" 0.61","20.13 ""+-"" 0.28","30.64 ""+-"" 0.41","25.90 ""+-"" 0.32","39.28 ""+-"" 0.47","2.81 ""+-"" 0.37","4.72 ""+-"" 0.57"
R_50_FPN_ft_fsdet_cos_correct_all_1shot,"24.32 ""+-"" 0.27","39.64 ""+-"" 0.22","31.73 ""+-"" 0.38","51.49 ""+-"" 0.31","2.10 ""+-"" 0.24","4.07 ""+-"" 0.45","22.98 ""+-"" 0.24","37.48 ""+-"" 0.35","29.85 ""+-"" 0.35","48.64 ""+-"" 0.46","2.34 ""+-"" 0.31","3.99 ""+-"" 0.51"
