name,bbox-nAP,bbox-nAP50,bbox-nAP75,bbox-nAPs,bbox-nAPm,bbox-nAPl,segm-nAP,segm-nAP50,segm-nAP75,segm-nAPs,segm-nAPm,segm-nAPl
R_50_FPN_fullclsag_metric_avg_cos_bh_normalized_novel_10shot_CSSCALE_100,"7.14 ""+-"" 0.45","12.91 ""+-"" 0.73","6.93 ""+-"" 0.49","3.09 ""+-"" 0.32","6.40 ""+-"" 0.33","11.10 ""+-"" 0.71","5.94 ""+-"" 0.43","9.96 ""+-"" 0.64","6.09 ""+-"" 0.45","1.95 ""+-"" 0.18","5.42 ""+-"" 0.35","10.39 ""+-"" 0.72"
R_50_FPN_ft_fsdet_cos_novel_10shot,"8.52 ""+-"" 0.49","15.53 ""+-"" 0.93","8.44 ""+-"" 0.51","3.98 ""+-"" 0.39","8.04 ""+-"" 0.47","12.80 ""+-"" 0.79","8.39 ""+-"" 0.50","14.64 ""+-"" 0.85","8.46 ""+-"" 0.47","2.64 ""+-"" 0.22","7.24 ""+-"" 0.48","13.81 ""+-"" 0.85"
