name,bbox-AP,bbox-AP50,bbox-bAP,bbox-bAP50,bbox-nAP,bbox-nAP50,segm-AP,segm-AP50,segm-bAP,segm-bAP50,segm-nAP,segm-nAP50
R_50_FPN_ft_fsdet_cos_correct_all_5shot,"26.39 ""+-"" 0.23","41.52 ""+-"" 0.30","33.11 ""+-"" 0.22","51.49 ""+-"" 0.25","6.22 ""+-"" 0.59","11.63 ""+-"" 1.15","25.07 ""+-"" 0.17","39.95 ""+-"" 0.30","31.29 ""+-"" 0.15","49.55 ""+-"" 0.20","6.38 ""+-"" 0.63","11.14 ""+-"" 1.05"
R_50_FPN_fullclsag_metric_avg_cos_bh_normalized_all_5shot_CSSCALE_1000,"19.62 ""+-"" 0.43","28.06 ""+-"" 0.63","24.13 ""+-"" 0.50","33.69 ""+-"" 0.75","6.07 ""+-"" 0.51","11.15 ""+-"" 0.89","18.22 ""+-"" 0.41","27.10 ""+-"" 0.61","22.56 ""+-"" 0.47","33.25 ""+-"" 0.72","5.19 ""+-"" 0.44","8.65 ""+-"" 0.68"
